"Project","Feature","RelativePath","FileName","ClassName","BaseClass"
"Dukan_x","restaurant","G:\desktop app genuine\Dukan_x\lib\features\restaurant\presentation\screens\restaurant_aggregator_receipt_screen.dart","restaurant_aggregator_receipt_screen.dart","RestaurantAggregatorReceiptScreen","StatefulWidget"
"Dukan_x","restaurant","G:\desktop app genuine\Dukan_x\lib\features\restaurant\presentation\screens\restaurant_daily_summary_screen.dart","restaurant_daily_summary_screen.dart","RestaurantDailySummaryScreen","StatefulWidget"
"Dukan_x","restaurant","G:\desktop app genuine\Dukan_x\lib\features\restaurant\presentation\screens\restaurant_delivery_ops_screen.dart","restaurant_delivery_ops_screen.dart","RestaurantDeliveryOpsScreen","StatefulWidget"
"Dukan_x","restaurant","G:\desktop app genuine\Dukan_x\lib\features\restaurant\presentation\screens\restaurant_inventory_screen.dart","restaurant_inventory_screen.dart","RestaurantInventoryScreen","StatefulWidget"
"Dukan_x","restaurant","G:\desktop app genuine\Dukan_x\lib\features\restaurant\presentation\screens\restaurant_owner_command_screen.dart","restaurant_owner_command_screen.dart","RestaurantOwnerCommandScreen","StatefulWidget"
"Dukan_x","restaurant","G:\desktop app genuine\Dukan_x\lib\features\restaurant\presentation\screens\restaurant_pricing_admin_screen.dart","restaurant_pricing_admin_screen.dart","RestaurantPricingAdminScreen","StatefulWidget"
"Dukan_x","restaurant","G:\desktop app genuine\Dukan_x\lib\features\restaurant\presentation\screens\restaurant_table_ops_screen.dart","restaurant_table_ops_screen.dart","RestaurantTableOpsScreen","StatefulWidget"
"Dukan_x","restaurant","G:\desktop app genuine\Dukan_x\lib\features\restaurant\presentation\screens\table_management_screen.dart","table_management_screen.dart","TableManagementScreen","ConsumerStatefulWidget"
"Dukan_x","restaurant","G:\desktop app genuine\Dukan_x\lib\features\restaurant\presentation\screens\customer\customer_menu_screen.dart","customer_menu_screen.dart","CustomerMenuScreen","StatefulWidget"
"Dukan_x","restaurant","G:\desktop app genuine\Dukan_x\lib\features\restaurant\presentation\screens\customer\order_tracking_screen.dart","order_tracking_screen.dart","OrderTrackingScreen","StatefulWidget"
"Dukan_x","restaurant","G:\desktop app genuine\Dukan_x\lib\features\restaurant\presentation\screens\customer\rate_review_screen.dart","rate_review_screen.dart","RateReviewScreen","StatefulWidget"
"Dukan_x","restaurant","G:\desktop app genuine\Dukan_x\lib\features\restaurant\presentation\screens\customer\rate_review_screen.dart","rate_review_screen.dart","QuickRatingDialog","StatefulWidget"
"Dukan_x","revenue","G:\desktop app genuine\Dukan_x\lib\features\revenue\screens\booking_order_screen.dart","booking_order_screen.dart","BookingOrderScreen","ConsumerStatefulWidget"
"Dukan_x","revenue","G:\desktop app genuine\Dukan_x\lib\features\revenue\screens\dispatch_note_screen.dart","dispatch_note_screen.dart","DispatchNoteScreen","ConsumerStatefulWidget"
"Dukan_x","revenue","G:\desktop app genuine\Dukan_x\lib\features\revenue\screens\proforma_screen.dart","proforma_screen.dart","ProformaScreen","ConsumerStatefulWidget"
"Dukan_x","revenue","G:\desktop app genuine\Dukan_x\lib\features\revenue\screens\receipt_entry_screen.dart","receipt_entry_screen.dart","ReceiptEntryScreen","ConsumerStatefulWidget"
"Dukan_x","revenue","G:\desktop app genuine\Dukan_x\lib\features\revenue\screens\refund_screen.dart","refund_screen.dart","RefundScreen","StatefulWidget"
"Dukan_x","revenue","G:\desktop app genuine\Dukan_x\lib\features\revenue\screens\return_inwards_screen.dart","return_inwards_screen.dart","ReturnInwardsScreen","ConsumerWidget"
"Dukan_x","revenue","G:\desktop app genuine\Dukan_x\lib\features\revenue\screens\revenue_overview_screen.dart","revenue_overview_screen.dart","RevenueOverviewScreen","ConsumerStatefulWidget"
"Dukan_x","revenue","G:\desktop app genuine\Dukan_x\lib\features\revenue\screens\sales_register_screen.dart","sales_register_screen.dart","SalesRegisterScreen","ConsumerStatefulWidget"
"Dukan_x","service","G:\desktop app genuine\Dukan_x\lib\features\service\presentation\screens\create_exchange_screen.dart","create_exchange_screen.dart","CreateExchangeScreen","StatefulWidget"
"Dukan_x","service","G:\desktop app genuine\Dukan_x\lib\features\service\presentation\screens\create_service_job_screen.dart","create_service_job_screen.dart","CreateServiceJobScreen","StatefulWidget"
"Dukan_x","service","G:\desktop app genuine\Dukan_x\lib\features\service\presentation\screens\exchange_detail_screen.dart","exchange_detail_screen.dart","ExchangeDetailScreen","StatefulWidget"
"Dukan_x","service","G:\desktop app genuine\Dukan_x\lib\features\service\presentation\screens\exchange_list_screen.dart","exchange_list_screen.dart","ExchangeListScreen","StatefulWidget"
"Dukan_x","service","G:\desktop app genuine\Dukan_x\lib\features\service\presentation\screens\service_job_detail_screen.dart","service_job_detail_screen.dart","ServiceJobDetailScreen","StatefulWidget"
"Dukan_x","service","G:\desktop app genuine\Dukan_x\lib\features\service\presentation\screens\service_job_list_screen.dart","service_job_list_screen.dart","ServiceJobListScreen","StatefulWidget"
"Dukan_x","settings","G:\desktop app genuine\Dukan_x\lib\features\settings\business_settings_screen.dart","business_settings_screen.dart","BusinessSettingsScreen","ConsumerStatefulWidget"
