"Method","Path","OperationId","LambdaHandler","DynamoDbPattern","Auth","TenantIsolated","ZodValidated","Status"
"POST","/customers/recovery-visits","recordRecoveryVisit","src/handlers/recovery-visits.ts:recordRecoveryVisit","Get","Yes","Yes","Yes","Implemented"
"GET","/dashboard","getDashboard","N/A:N/A","N/A","Yes","No","No","No serverless handler mapping"
"GET","/dashboard-summary","getDashboardSummary","N/A:N/A","N/A","Yes","No","No","No serverless handler mapping"
"GET","/estimates","estimateList","src/handlers/estimates.ts:list","Get","Yes","Yes","Yes","Implemented"
"POST","/estimates","estimateCreate","src/handlers/estimates.ts:create","Get","Yes","Yes","Yes","Implemented"
"GET","/estimates/{id}","estimateGet","src/handlers/estimates.ts:get","Get","Yes","Yes","Yes","Implemented"
"POST","/estimates/{id}/convert","estimateConvert","src/handlers/estimates.ts:convert","Get","Yes","Yes","Yes","Implemented"
"POST","/estimates/{id}/void","estimateVoid","src/handlers/estimates.ts:voidEst","Get","Yes","Yes","Yes","Implemented"
"GET","/grocery/batches","groceryBatchList","src/handlers/grocery-batches.ts:listBatches","Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/grocery/batches","groceryBatchCreate","src/handlers/grocery-batches.ts:createBatch","Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/hardware/deposits","hardwareDepositList","src/handlers/hardware-deposits.ts:listDeposits","Update/Get","Yes","Yes","Yes","Implemented"
"POST","/hardware/deposits","hardwareDepositCreate","src/handlers/hardware-deposits.ts:createDeposit","Update/Get","Yes","Yes","Yes","Implemented"
"POST","/hardware/deposits/{id}/settle","hardwareDepositSettle","src/handlers/hardware-deposits.ts:settleDeposit","Update/Get","Yes","Yes","Yes","Implemented"
"POST","/hardware/grn","hardwareCreateGrn","src/handlers/hardware-phase12.ts:createGrn","Get","Yes","Yes","Yes","Implemented"
"GET","/hardware/indents","hardwareIndentList","src/handlers/hardware-projects.ts:listIndents","Get","Yes","Yes","Yes","Implemented"
"POST","/hardware/indents","hardwareIndentCreate","src/handlers/hardware-projects.ts:createIndent","Get","Yes","Yes","Yes","Implemented"
"POST","/hardware/indents/{id}/close","hardwareIndentClose","src/handlers/hardware-projects.ts:closeIndent","Get","Yes","Yes","Yes","Implemented"
"GET","/hardware/invoice-profiles","hardwareGetInvoiceProfiles","src/handlers/hardware-phase2.ts:getInvoiceProfiles","Get","Yes","Yes","Yes","Implemented"
"PUT","/hardware/invoice-profiles","hardwareSaveInvoiceProfiles","src/handlers/hardware-phase2.ts:saveInvoiceProfiles","Get","Yes","Yes","Yes","Implemented"
"GET","/hardware/parties","hardwareListParties","src/handlers/hardware-phase12.ts:listParties","Get","Yes","Yes","Yes","Implemented"
"POST","/hardware/parties","hardwareCreateParty","src/handlers/hardware-phase12.ts:createParty","Get","Yes","Yes","Yes","Implemented"
"GET","/hardware/parties-aging","hardwareGetPartyAging","src/handlers/hardware-phase12.ts:getPartyAging","Get","Yes","Yes","Yes","Implemented"
"GET","/hardware/parties/{id}/ledger","hardwareGetPartyLedger","src/handlers/hardware-phase12.ts:getPartyLedger","Get","Yes","Yes","Yes","Implemented"
"POST","/hardware/parties/{id}/ledger","hardwarePostPartyLedger","src/handlers/hardware-phase12.ts:postPartyLedger","Get","Yes","Yes","Yes","Implemented"
"POST","/hardware/pos/quick-invoice","hardwareQuickCreateInvoice","src/handlers/hardware-phase2.ts:quickCreateInvoice","Get","Yes","Yes","Yes","Implemented"
"GET","/hardware/project-outstanding","getHardwareProjectOutstanding","N/A:N/A","N/A","Yes","No","No","No serverless handler mapping"
